alpha beta logL
-0.2916666667 -0.7916666667 1.644729211
-0.25 -0.7916666667 1.644740837
-0.2083333333 -0.7916666667 1.644750654
-0.1666666667 -0.7916666667 1.644758656
-0.125 -0.7916666667 1.64476485
-0.08333333333 -0.7916666667 1.644769249
-0.04166666667 -0.7916666667 1.644771871
0 -0.7916666667 1.644772738
0.04166666667 -0.7916666667 1.644771874
0.08333333333 -0.7916666667 1.644769308
0.125 -0.7916666667 1.644765068
0.1666666667 -0.7916666667 1.644759184
0.2083333333 -0.7916666667 1.64475169
0.25 -0.7916666667 1.644742625
0.2916666667 -0.7916666667 1.644732031
0.3333333333 -0.7916666667 1.644719959
0.375 -0.7916666667 1.644706468
0.4166666667 -0.7916666667 1.644691632
0.4583333333 -0.7916666667 1.64467554
0.5 -0.7916666667 1.644658301
0.5416666667 -0.7916666667 1.644640045
0.5833333333 -0.7916666667 1.644620935
0.625 -0.7916666667 1.644601164
0.6666666667 -0.7916666667 1.644580966
0.7083333333 -0.7916666667 1.644560618
0.75 -0.7916666667 1.64454045
0.7916666667 -0.7916666667 1.644520848
0.8333333333 -0.7916666667 1.644502264
0.875 -0.7916666667 1.644485225
0.9166666667 -0.7916666667 1.644470334
0.9583333333 -0.7916666667 1.644458289
1 -0.7916666667 1.644449882
1.041666667 -0.7916666667 1.644446015
1.083333333 -0.7916666667 1.644447706
1.125 -0.7916666667 1.644456103
1.166666667 -0.7916666667 1.644472488
1.208333333 -0.7916666667 1.644498296
1.25 -0.7916666667 1.644535119
-1.25 -0.75 1.603316197
-1.208333333 -0.75 1.60326641
-1.166666667 -0.75 1.603230936
-1.125 -0.75 1.603207713
-1.083333333 -0.75 1.603194882
-1.041666667 -0.75 1.603190771
-1 -0.75 1.603193885
-0.9583333333 -0.75 1.603202888
-0.9166666667 -0.75 1.603216599
-0.875 -0.75 1.603233973
-0.8333333333 -0.75 1.603254094
-0.7916666667 -0.75 1.603276165
-0.75 -0.75 1.603299494
